"feature","frequency","rank","docfreq","group"
"valiant",2,11357,2,"all"
"fiend",2,11357,2,"all"
"science-fiction",2,11357,2,"all"
"omega",2,11357,2,"all"
"reruns",2,11357,2,"all"
"swims",2,11357,2,"all"
"puppa",2,11357,1,"all"
"sun-drop",2,11357,1,"all"
"crumpled",2,11357,2,"all"
"dimes",2,11357,1,"all"
"katana",2,11357,1,"all"
"discounted",2,11357,2,"all"
"blends",2,11357,2,"all"
"pdf",2,11357,2,"all"
"sunflower",2,11357,2,"all"
"persian",2,11357,2,"all"
"babysitting",2,11357,2,"all"
"metropolis",2,11357,2,"all"
"fanny",2,11357,2,"all"
"hatin",2,11357,2,"all"
"meds",2,11357,2,"all"
"salem",2,11357,2,"all"
"elevating",2,11357,2,"all"
"align",2,11357,2,"all"
"shins",2,11357,2,"all"
"asterisk",2,11357,2,"all"
"over-the-top",2,11357,2,"all"
"pomegranate",2,11357,2,"all"
"symbols",2,11357,2,"all"
"lungs",2,11357,2,"all"
"multiples",2,11357,2,"all"
"violet",2,11357,2,"all"
"solemn",2,11357,1,"all"
"lid",2,11357,2,"all"
"searched",2,11357,2,"all"
"momentarily",2,11357,2,"all"
"autocrats",2,11357,2,"all"
"gradual",2,11357,2,"all"
"flirt",2,11357,1,"all"
"wreckage",2,11357,2,"all"
"stereo",2,11357,2,"all"
"profited",2,11357,2,"all"
"revolting",2,11357,2,"all"
"exalted",2,11357,2,"all"
"11am",2,11357,2,"all"
"four-wheel",2,11357,2,"all"
"o'connor",2,11357,2,"all"
"columnist",2,11357,2,"all"
"self-fulfilling",2,11357,2,"all"
"prophesy",2,11357,2,"all"
"aids",2,11357,2,"all"
"derogatory",2,11357,2,"all"
"mainland",2,11357,2,"all"
"unrealistic",2,11357,2,"all"
"entrusted",2,11357,2,"all"
"fam",2,11357,2,"all"
"two-way",2,11357,2,"all"
"masquerade",2,11357,2,"all"
"null",2,11357,2,"all"
"asahi",2,11357,1,"all"
"breweries",2,11357,2,"all"
"bangkok",2,11357,2,"all"
"confidently",2,11357,2,"all"
"failures",2,11357,2,"all"
"adhd",2,11357,2,"all"
"illnesses",2,11357,2,"all"
"digress",2,11357,2,"all"
"tasteful",2,11357,2,"all"
"vineyard",2,11357,2,"all"
"blogged",2,11357,2,"all"
"personals",2,11357,1,"all"
"face-to-face",2,11357,2,"all"
"ex-boyfriend",2,11357,2,"all"
"chatter",2,11357,2,"all"
"ideals",2,11357,2,"all"
"enzyme",2,11357,1,"all"
"administrations",2,11357,2,"all"
"accommodating",2,11357,2,"all"
"addicted",2,11357,2,"all"
"bastard",2,11357,2,"all"
"slacks",2,11357,2,"all"
"whuu",2,11357,1,"all"
"disgusting",2,11357,2,"all"
"plaque",2,11357,2,"all"
"massively",2,11357,2,"all"
"infringing",2,11357,2,"all"
"infringed",2,11357,2,"all"
"hard-working",2,11357,2,"all"
"follow-through",2,11357,2,"all"
"indirect",2,11357,2,"all"
"believable",2,11357,2,"all"
"wake-up",2,11357,2,"all"
"abandonment",2,11357,2,"all"
"cm",2,11357,2,"all"
"scarf",2,11357,2,"all"
"bronchitis",2,11357,2,"all"
"biscuit",2,11357,2,"all"
"ikea",2,11357,2,"all"
"graft",2,11357,2,"all"
"probable",2,11357,2,"all"
"unlocking",2,11357,2,"all"
"youngsters",2,11357,2,"all"
"disliked",2,11357,2,"all"
"camerawork",2,11357,2,"all"
"integration",2,11357,2,"all"
"gallup",2,11357,2,"all"
"riveting",2,11357,2,"all"
"ben's",2,11357,2,"all"
"traction",2,11357,2,"all"
"succeeding",2,11357,2,"all"
"fondness",2,11357,2,"all"
"processing",2,11357,2,"all"
"forwarded",2,11357,2,"all"
"gangs",2,11357,2,"all"
"standby",2,11357,2,"all"
"haeng",2,11357,1,"all"
"siwan",2,11357,1,"all"
"ki",2,11357,2,"all"
"guiding",2,11357,2,"all"
"writings",2,11357,2,"all"
"moby",2,11357,2,"all"
"intermittently",2,11357,2,"all"
"donor's",2,11357,2,"all"
"spirited",2,11357,2,"all"
"hovered",2,11357,2,"all"
"cowell",2,11357,2,"all"
"compasses",2,11357,1,"all"
"rapists",2,11357,2,"all"
"sack",2,11357,2,"all"
"freezer",2,11357,2,"all"
"melting",2,11357,2,"all"
"restful",2,11357,2,"all"
"investigative",2,11357,2,"all"
"insular",2,11357,2,"all"
"uber",2,11357,2,"all"
"gail",2,11357,2,"all"
"i's",2,11357,2,"all"
"reaffirmed",2,11357,2,"all"
"darrell",2,11357,2,"all"
"nlp",2,11357,2,"all"
"noah",2,11357,2,"all"
"ropes",2,11357,2,"all"
"full-",2,11357,2,"all"
"discount-",2,11357,2,"all"
"tbr",2,11357,2,"all"
"incorporates",2,11357,2,"all"
"outlaw",2,11357,2,"all"
"dashboard",2,11357,2,"all"
"hachette",2,11357,2,"all"
"top-selling",2,11357,2,"all"
"5-6",2,11357,2,"all"
"plr",2,11357,1,"all"
"illustrator",2,11357,2,"all"
"breakers",2,11357,2,"all"
"maggots",2,11357,1,"all"
"valentine’s",2,11357,2,"all"
"gina",2,11357,2,"all"
"celine",2,11357,2,"all"
"improvise",2,11357,2,"all"
"leftover",2,11357,2,"all"
"distillery",2,11357,2,"all"
"whiskeys",2,11357,2,"all"
"pottinger",2,11357,1,"all"
"distilling",2,11357,2,"all"
"everett",2,11357,2,"all"
"oily",2,11357,2,"all"
"wallpaper",2,11357,2,"all"
"thirty-eight",2,11357,2,"all"
"1930s",2,11357,2,"all"
"acl",2,11357,2,"all"
"abilene",2,11357,2,"all"
"infectious",2,11357,2,"all"
"researching",2,11357,2,"all"
"allowance",2,11357,2,"all"
"cos",2,11357,2,"all"
"iain",2,11357,2,"all"
"dane",2,11357,2,"all"
"long-running",2,11357,2,"all"
"scooby",2,11357,1,"all"
"affectionately",2,11357,2,"all"
"damsel",2,11357,2,"all"
"tenfold",2,11357,2,"all"
"mummy",2,11357,2,"all"
"panorama",2,11357,2,"all"
"belgian",2,11357,2,"all"
"lovers",2,11357,2,"all"
"slower",2,11357,2,"all"
"dolly",2,11357,1,"all"
"yarn",2,11357,2,"all"
"fibers",2,11357,2,"all"
"sausages",2,11357,1,"all"
"asteroids",2,11357,2,"all"
"plaster",2,11357,2,"all"
"escapes",2,11357,2,"all"
"tendencies",2,11357,2,"all"
"bryce",2,11357,2,"all"
"expansive",2,11357,2,"all"
"liberating",2,11357,2,"all"
"shedding",2,11357,1,"all"
"remission",2,11357,2,"all"
"cabby",2,11357,2,"all"
"sympathy",2,11357,2,"all"
"tottenham",2,11357,1,"all"
"molds",2,11357,2,"all"
"full-size",2,11357,2,"all"
"pastries",2,11357,2,"all"
"devon",2,11357,2,"all"
"raspberry",2,11357,2,"all"
"nas",2,11357,2,"all"
"mayberry",2,11357,2,"all"
"bumpy",2,11357,2,"all"
"alvarez",2,11357,2,"all"
"insurmountable",2,11357,2,"all"
"transcendent",2,11357,2,"all"
"contingent",2,11357,2,"all"
"goodie-two-shoes",2,11357,1,"all"
"generals",2,11357,2,"all"
"successor",2,11357,2,"all"
"pumped",2,11357,2,"all"
"pun",2,11357,2,"all"
"hinder",2,11357,2,"all"
"flowered",2,11357,2,"all"
"retails",2,11357,2,"all"
"daycare",2,11357,2,"all"
"substances",2,11357,2,"all"
"authonomy",2,11357,1,"all"
"anastasia",2,11357,1,"all"
"co-founded",2,11357,2,"all"
"geared",2,11357,2,"all"
"dotw",2,11357,1,"all"
"50k",2,11357,2,"all"
"motivating",2,11357,2,"all"
"e's",2,11357,2,"all"
"angles",2,11357,2,"all"
"aloha",2,11357,2,"all"
"shoved",2,11357,2,"all"
"nutritional",2,11357,2,"all"
"yeast",2,11357,2,"all"
"qur’an",2,11357,1,"all"
"worshipers",2,11357,2,"all"
"mosque",2,11357,2,"all"
"shattered",2,11357,2,"all"
"shards",2,11357,2,"all"
"jo",2,11357,2,"all"
"ultrasounds",2,11357,2,"all"
"escalante",2,11357,1,"all"
"wheezy",2,11357,2,"all"
"presume",2,11357,2,"all"
"binders",2,11357,2,"all"
"circumstance",2,11357,2,"all"
"jumpstart",2,11357,2,"all"
"playlist",2,11357,2,"all"
"spacious",2,11357,2,"all"
"prepped",2,11357,2,"all"
"peered",2,11357,2,"all"
"intently",2,11357,2,"all"
"mindful",2,11357,2,"all"
"puritans",2,11357,2,"all"
"enraged",2,11357,2,"all"
"goldings",2,11357,2,"all"
"sandwiched",2,11357,2,"all"
"dissolves",2,11357,2,"all"
"shrank",2,11357,2,"all"
"flaky",2,11357,2,"all"
"paterson",2,11357,1,"all"
"eminent",2,11357,2,"all"
"call-in",2,11357,1,"all"
"payable",2,11357,2,"all"
"preach",2,11357,2,"all"
"blinded",2,11357,2,"all"
"read-through",2,11357,2,"all"
"complexity",2,11357,2,"all"
"jesuit",2,11357,2,"all"
"husbands",2,11357,2,"all"
"johns",2,11357,2,"all"
"berlin",2,11357,2,"all"
"evergreen",2,11357,2,"all"
"midway",2,11357,2,"all"
"keyboards",2,11357,2,"all"
"mccall",2,11357,2,"all"
"optimus",2,11357,1,"all"
"energon",2,11357,1,"all"
"oversize",2,11357,2,"all"
"kibble",2,11357,2,"all"
"mirrors",2,11357,2,"all"
"glastonbury",2,11357,1,"all"
"up-tempo",2,11357,2,"all"
"rigorous",2,11357,2,"all"
"accuracy",2,11357,2,"all"
"patella",2,11357,1,"all"
"emigration",2,11357,2,"all"
"comfy",2,11357,1,"all"
"flooding",2,11357,2,"all"
"brulee",2,11357,2,"all"
"oddly",2,11357,2,"all"
"sheesh",2,11357,2,"all"
"programmes",2,11357,2,"all"
"hssh’s",2,11357,1,"all"
"accusation",2,11357,2,"all"
"deceived",2,11357,2,"all"
"delusions",2,11357,2,"all"
"dolores",2,11357,1,"all"
"twisting",2,11357,2,"all"
"deacon",2,11357,2,"all"
"backpacker",2,11357,2,"all"
"brodie",2,11357,2,"all"
"stevenson",2,11357,2,"all"
"hyde",2,11357,2,"all"
"busch",2,11357,2,"all"
"slogan",2,11357,2,"all"
"overcrowding",2,11357,2,"all"
"taxpayer's",2,11357,2,"all"
"loudly",2,11357,2,"all"
"intruder",2,11357,2,"all"
"wading",2,11357,2,"all"
"othello",2,11357,1,"all"
"versa",2,11357,2,"all"
"beckett",2,11357,2,"all"
"escondido",2,11357,2,"all"
"bloke",2,11357,1,"all"
"p’mario’s",2,11357,1,"all"
"ubiquitous",2,11357,2,"all"
"adolescent",2,11357,2,"all"
"canon",2,11357,2,"all"
"dips",2,11357,2,"all"
"marino",2,11357,2,"all"
"all-around",2,11357,2,"all"
"statistic",2,11357,2,"all"
"vain",2,11357,2,"all"
"discernment",2,11357,2,"all"
"college-educated",2,11357,2,"all"
"master’s",2,11357,2,"all"
"rosy",2,11357,2,"all"
"stickles",2,11357,2,"all"
"hath",2,11357,2,"all"
"fountain",2,11357,2,"all"
"twister",2,11357,2,"all"
"geithner",2,11357,2,"all"
"7gypsies",2,11357,1,"all"
"fab",2,11357,2,"all"
"fabscraps",2,11357,1,"all"
"prima",2,11357,1,"all"
"bg",2,11357,1,"all"
"crystals",2,11357,2,"all"
"close-up",2,11357,2,"all"
"indirectly",2,11357,2,"all"
"denim",2,11357,2,"all"
"consensual",2,11357,2,"all"
"indicative",2,11357,2,"all"
"oval",2,11357,1,"all"
"ooze",2,11357,2,"all"
"highlighting",2,11357,2,"all"
"surpluses",2,11357,2,"all"
"mangano",2,11357,1,"all"
"surplus",2,11357,2,"all"
"transitioned",2,11357,2,"all"
"balancing",2,11357,2,"all"
"acidic",2,11357,2,"all"
"cardiovascular",2,11357,2,"all"
"peppercorns",2,11357,2,"all"
"enriched",2,11357,2,"all"
"grudges",2,11357,2,"all"
"chained",2,11357,2,"all"
"grudge",2,11357,2,"all"
"oblongs",2,11357,2,"all"
"encircle",2,11357,2,"all"
"embedded",2,11357,2,"all"
"bushes",2,11357,2,"all"
"playground",2,11357,2,"all"
"fannie",2,11357,2,"all"
"kashmir",2,11357,2,"all"
"licensee",2,11357,1,"all"
"disclosures",2,11357,2,"all"
"ottawa",2,11357,2,"all"
"afterlife",2,11357,2,"all"
"panther",2,11357,1,"all"
"totem",2,11357,2,"all"
"statues",2,11357,2,"all"
"goth",2,11357,2,"all"
"crafter",2,11357,2,"all"
"iván",2,11357,2,"all"
"livable",2,11357,2,"all"
"sovereign",2,11357,2,"all"
"eluded",2,11357,2,"all"
"leukemia",2,11357,2,"all"
"jiggly",2,11357,2,"all"
"guides",2,11357,2,"all"
"cords",2,11357,2,"all"
"brainer",2,11357,2,"all"
"overflowing",2,11357,2,"all"
"cliche",2,11357,2,"all"
"dysphoria",2,11357,2,"all"
"resign",2,11357,2,"all"
"graphite",2,11357,2,"all"
"hearth",2,11357,2,"all"
"twilight",2,11357,2,"all"
"li",2,11357,2,"all"
"smeared",2,11357,2,"all"
"wong",2,11357,2,"all"
"breathless",2,11357,2,"all"
"conquer",2,11357,2,"all"
"persuasive",2,11357,2,"all"
"stylish",2,11357,2,"all"
"aerial",2,11357,2,"all"
"fielding",2,11357,2,"all"
"buckle",2,11357,2,"all"
"prologue",2,11357,2,"all"
"pasture",2,11357,2,"all"
"sloe",2,11357,1,"all"
"culled",2,11357,2,"all"
"segregated",2,11357,2,"all"
"blowhard",2,11357,1,"all"
"dogma",2,11357,2,"all"
"teething",2,11357,2,"all"
"casebere",2,11357,2,"all"
"dandy",2,11357,2,"all"
"disguise",2,11357,2,"all"
"breeze",2,11357,2,"all"
"novelty",2,11357,2,"all"
"gigantic",2,11357,2,"all"
"tufts",2,11357,2,"all"
"fuming",2,11357,2,"all"
"could've",2,11357,2,"all"
"chambers",2,11357,2,"all"
"univ",2,11357,2,"all"
"sri",2,11357,2,"all"
"lanka",2,11357,2,"all"
"latha",2,11357,1,"all"
"vanishes",2,11357,2,"all"
"descends",2,11357,2,"all"
"comprised",2,11357,2,"all"
"firearm",2,11357,2,"all"
"fingerprint",2,11357,2,"all"
"cartridge",2,11357,2,"all"
"casseroles",2,11357,2,"all"
"buddy's",2,11357,2,"all"
"instagram",2,11357,2,"all"
"empathize",2,11357,2,"all"
"big-screen",2,11357,2,"all"
"mikey",2,11357,2,"all"
"bursts",2,11357,2,"all"
"sanding",2,11357,2,"all"
"saddest",2,11357,2,"all"
"zines",2,11357,1,"all"
"furious",2,11357,2,"all"
"bv00",2,11357,2,"all"
"whirlwind",2,11357,2,"all"
"heir",2,11357,2,"all"
"sulfur",2,11357,2,"all"
"non-native",2,11357,2,"all"
"poli",2,11357,1,"all"
"maui",2,11357,2,"all"
"kauai",2,11357,2,"all"
"hikers",2,11357,2,"all"
"shaving",2,11357,2,"all"
"blair",2,11357,2,"all"
"rejoice",2,11357,2,"all"
"rufus",2,11357,2,"all"
"dorota",2,11357,1,"all"
"collects",2,11357,2,"all"
"sanitary",2,11357,2,"all"
"enlisted",2,11357,2,"all"
"recycles",2,11357,2,"all"
"pushes",2,11357,2,"all"
"dupont",2,11357,2,"all"
"on-site",2,11357,2,"all"
"wholesome",2,11357,2,"all"
"seeming",2,11357,2,"all"
"temptation",2,11357,2,"all"
"cynical",2,11357,2,"all"
"squandered",2,11357,2,"all"
"inconsistent",2,11357,2,"all"
"alleys",2,11357,2,"all"
"summertime",2,11357,2,"all"
"guidebook",2,11357,2,"all"
"reader's",2,11357,2,"all"
"pov",2,11357,2,"all"
"lunchtime",2,11357,2,"all"
"downhill",2,11357,2,"all"
"l's",2,11357,2,"all"
"effected",2,11357,2,"all"
"janeiro",2,11357,2,"all"
"investing",2,11357,2,"all"
"mba",2,11357,2,"all"
"empowers",2,11357,2,"all"
"marveling",2,11357,2,"all"
"cutter",2,11357,2,"all"
"sprite",2,11357,1,"all"
"specimens",2,11357,2,"all"
"observatory",2,11357,2,"all"
"disappears",2,11357,2,"all"
"tammy",2,11357,2,"all"
"goodwin",2,11357,2,"all"
"hampton",2,11357,2,"all"
"steamy",2,11357,2,"all"
"oblivious",2,11357,2,"all"
"arches",2,11357,2,"all"
"daa",2,11357,1,"all"
"recycled",2,11357,2,"all"
"revising",2,11357,2,"all"
"ja",2,11357,1,"all"
"horse’s",2,11357,1,"all"
"drummers",2,11357,2,"all"
"guillory",2,11357,1,"all"
"tens",2,11357,2,"all"
"savoring",2,11357,2,"all"
"spina",2,11357,2,"all"
"bifida",2,11357,2,"all"
"bracing",2,11357,2,"all"
"nutritionist",2,11357,2,"all"
"bipolarmuse",2,11357,1,"all"
"filter",2,11357,2,"all"
"reliability",2,11357,2,"all"
"petrol",2,11357,1,"all"
"factoring",2,11357,2,"all"
"co2",2,11357,2,"all"
"fiat",2,11357,2,"all"
"frugal",2,11357,2,"all"
"vince",2,11357,2,"all"
"enquiry",2,11357,2,"all"
"attendant",2,11357,2,"all"
"preheated",2,11357,2,"all"
"inserted",2,11357,2,"all"
"frost",2,11357,2,"all"
"englewood",2,11357,2,"all"
"perry’s",2,11357,1,"all"
"emcee",2,11357,2,"all"
"overtaking",2,11357,2,"all"
"europa",2,11357,2,"all"
"provocative",2,11357,2,"all"
"sleeve",2,11357,2,"all"
"dog's",2,11357,2,"all"
"horrifying",2,11357,2,"all"
"flush",2,11357,2,"all"
"endorphins",2,11357,2,"all"
"lacing",2,11357,2,"all"
"realms",2,11357,2,"all"
"uniquely",2,11357,2,"all"
"mankind",2,11357,2,"all"
"ain’t",2,11357,2,"all"
"lucky’s",2,11357,1,"all"
"waitin",2,11357,2,"all"
"inny",2,11357,1,"all"
"patronise",2,11357,1,"all"
"blanche",2,11357,2,"all"
"lite",2,11357,1,"all"
"sectors",2,11357,2,"all"
"discouraging",2,11357,2,"all"
"stephens",2,11357,2,"all"
"recognise",2,11357,2,"all"
"peacefulness",2,11357,2,"all"
"noticeably",2,11357,2,"all"
"uproar",2,11357,2,"all"
"fictionalized",2,11357,2,"all"
"imaginary",2,11357,2,"all"
"yanked",2,11357,2,"all"
"continuum",2,11357,2,"all"
"abby",2,11357,2,"all"
"jumpsuit",2,11357,2,"all"
"sucking",2,11357,2,"all"
"loathing",2,11357,2,"all"
"envious",2,11357,2,"all"
"moma",2,11357,2,"all"
"hugging",2,11357,2,"all"
"cherish",2,11357,2,"all"
"torchlighters",2,11357,1,"all"
"pauls",2,11357,1,"all"
"cross-country",2,11357,2,"all"
"simulated",2,11357,2,"all"
"schwump",2,11357,1,"all"
"dictators",2,11357,2,"all"
"beginnings",2,11357,2,"all"
"pavement",2,11357,2,"all"
"memorabilia",2,11357,2,"all"
"souvenir",2,11357,2,"all"
"zoning",2,11357,2,"all"
"drifting",2,11357,2,"all"
"recollection",2,11357,2,"all"
"writer's",2,11357,2,"all"
"deschutes",2,11357,2,"all"
"microfiber",2,11357,2,"all"
"whipping",2,11357,2,"all"
"charred",2,11357,1,"all"
"billie",2,11357,2,"all"
"strumming",2,11357,2,"all"
"pumps",2,11357,2,"all"
"drawings",2,11357,2,"all"
"12-",2,11357,2,"all"
"savour",2,11357,2,"all"
"reminiscent",2,11357,2,"all"
"becca",2,11357,2,"all"
"leone",2,11357,2,"all"
"t-ara",2,11357,1,"all"
"well-done",2,11357,2,"all"
"germans",2,11357,2,"all"
"reproducing",2,11357,2,"all"
"sewn",2,11357,2,"all"
"immaterial",2,11357,2,"all"
"tempered",2,11357,2,"all"
"strikingly",2,11357,2,"all"
"fresh-faced",2,11357,2,"all"
"accuses",2,11357,2,"all"
"flee",2,11357,2,"all"
"cookbooks",2,11357,2,"all"
"hazelnuts",2,11357,2,"all"
"leisurely",2,11357,2,"all"
"sneaking",2,11357,2,"all"
"hng",2,11357,1,"all"
"badass",2,11357,2,"all"
"headaches",2,11357,2,"all"
"milestone",2,11357,2,"all"
"clockwork",2,11357,2,"all"
"spilling",2,11357,2,"all"
"stances",2,11357,2,"all"
"validation",2,11357,2,"all"
"delete",2,11357,2,"all"
"magnet",2,11357,2,"all"
"textures",2,11357,2,"all"
"cashing",2,11357,2,"all"
"delightfully",2,11357,2,"all"
"mcdonald’s",2,11357,1,"all"
"obstacle",2,11357,2,"all"
"sexism",2,11357,2,"all"
"handguns",2,11357,2,"all"
"ut",2,11357,2,"all"
"bine",2,11357,1,"all"
"depreciation",2,11357,2,"all"
"progeny",2,11357,2,"all"
"selecting",2,11357,2,"all"
"departed",2,11357,2,"all"
"mob",2,11357,2,"all"
"queenan",2,11357,1,"all"
"coincides",2,11357,2,"all"
"identities",2,11357,2,"all"
"thriller",2,11357,2,"all"
"unpublished",2,11357,2,"all"
"analyse",2,11357,2,"all"
"abbie",2,11357,2,"all"
"faux",2,11357,2,"all"
"marker",2,11357,2,"all"
"farrell",2,11357,2,"all"
"fascinated",2,11357,2,"all"
"hobbit",2,11357,2,"all"
"oscar-winning",2,11357,2,"all"
"scotty",2,11357,2,"all"
"sprinkled",2,11357,2,"all"
"severity",2,11357,2,"all"
"sweated",2,11357,2,"all"
"spouting",2,11357,2,"all"
"biased",2,11357,2,"all"
"browse",2,11357,2,"all"
"vulnerabilities",2,11357,2,"all"
"improvisation",2,11357,2,"all"
"denton",2,11357,2,"all"
"j's",2,11357,2,"all"
"salvation",2,11357,2,"all"
"splenda",2,11357,2,"all"
"sweeteners",2,11357,2,"all"
"romanesque",2,11357,2,"all"
"bruising",2,11357,2,"all"
"chanting",2,11357,2,"all"
"phases",2,11357,2,"all"
"wi",2,11357,2,"all"
"heron",2,11357,2,"all"
"dead-end",2,11357,2,"all"
"ravine",2,11357,1,"all"
"swat",2,11357,2,"all"
"erroneous",2,11357,2,"all"
"jeannie",2,11357,1,"all"
"gel",2,11357,2,"all"
"alternately",2,11357,2,"all"
"induce",2,11357,1,"all"
"gravy",2,11357,2,"all"
"homesick",2,11357,2,"all"
"meredith",2,11357,1,"all"
"mitsubishi",2,11357,1,"all"
"recoup",2,11357,2,"all"
"discern",2,11357,2,"all"
"anthropology",2,11357,2,"all"
"americana",2,11357,2,"all"
"fenway",2,11357,2,"all"
"fireworks",2,11357,2,"all"
"cambodia",2,11357,2,"all"
"tilapia",2,11357,2,"all"
"commented",2,11357,2,"all"
"adorned",2,11357,2,"all"
"castor’s",2,11357,1,"all"
"possessed",2,11357,2,"all"
"brow",2,11357,2,"all"
"broom",2,11357,2,"all"
"spade",2,11357,2,"all"
"certification",2,11357,2,"all"
"ordained",2,11357,1,"all"
"gingerly",2,11357,2,"all"
"mattered",2,11357,2,"all"
"gleaming",2,11357,2,"all"
"moonlight",2,11357,2,"all"
"lotto",2,11357,2,"all"
"trance",2,11357,2,"all"
"offended",2,11357,2,"all"
"unveiling",2,11357,2,"all"
"u2",2,11357,2,"all"
"aha",2,11357,2,"all"
"sketchy",2,11357,2,"all"
"labelled",2,11357,2,"all"
"ew",2,11357,2,"all"
"wat",2,11357,2,"all"
"roth",2,11357,1,"all"
"interestingly",2,11357,2,"all"
"omaha",2,11357,2,"all"
"ne",2,11357,2,"all"
"thoughtfulness",2,11357,2,"all"
"cayenne",2,11357,2,"all"
"squatch",2,11357,1,"all"
"unplugged",2,11357,2,"all"
"damask",2,11357,1,"all"
"turquoise",2,11357,2,"all"
"bludgeon",2,11357,2,"all"
"faithless",2,11357,2,"all"
"disloyal",2,11357,2,"all"
"wickedness",2,11357,2,"all"
"turks",2,11357,1,"all"
"willingly",2,11357,2,"all"
"comrade",2,11357,2,"all"
"destroyer",2,11357,2,"all"
"bloodshed",2,11357,2,"all"
"dominion",2,11357,2,"all"
"mattress",2,11357,1,"all"
"dazzling",2,11357,2,"all"
"shortest",2,11357,2,"all"
"decluttering",2,11357,2,"all"
"flea",2,11357,2,"all"
"tabletop",2,11357,2,"all"
"picket",2,11357,2,"all"
"archival",2,11357,2,"all"
"devolution",2,11357,2,"all"
"readiness",2,11357,2,"all"
"heaviest",2,11357,2,"all"
"lagers",2,11357,2,"all"
"aftertaste",2,11357,2,"all"
"farewell",2,11357,2,"all"
"tolkien",2,11357,2,"all"
"burma",2,11357,2,"all"
"dictatorship",2,11357,2,"all"
"opaque",2,11357,2,"all"
"glide",2,11357,2,"all"
"re-read",2,11357,2,"all"
"lieutenant",2,11357,2,"all"
"raven",2,11357,2,"all"
"astronaut",2,11357,2,"all"
"coated",2,11357,2,"all"
"broccoli",2,11357,2,"all"
"rosemary",2,11357,2,"all"
"chronic",2,11357,2,"all"
"spot-fixing",2,11357,1,"all"
"documented",2,11357,2,"all"
"inconsistency",2,11357,2,"all"
"beaux-arts",2,11357,2,"all"
"reptile",2,11357,2,"all"
"presumably",2,11357,2,"all"
"apes",2,11357,2,"all"
"baboon",2,11357,2,"all"
"famed",2,11357,2,"all"
"sculptor",2,11357,2,"all"
"exhibitions",2,11357,2,"all"
"licence",2,11357,2,"all"
"sci-fi",2,11357,2,"all"
"mein",2,11357,2,"all"
"ironing",2,11357,2,"all"
"low-level",2,11357,1,"all"
"solves",2,11357,2,"all"
"all-encompassing",2,11357,2,"all"
"underlying",2,11357,2,"all"
"centuries",2,11357,2,"all"
"millennia",2,11357,2,"all"
"apt",2,11357,2,"all"
"blurred",2,11357,2,"all"
"disband",2,11357,2,"all"
"cache",2,11357,2,"all"
"worded",2,11357,2,"all"
"charmer",2,11357,2,"all"
"fervor",2,11357,2,"all"
"longmont",2,11357,2,"all"
"buffer",2,11357,1,"all"
"sized",2,11357,2,"all"
"straighten",2,11357,2,"all"
"rubbing",2,11357,2,"all"
"twelfth",2,11357,2,"all"
"squabbling",2,11357,2,"all"
"inheritances",2,11357,2,"all"
"custodian",2,11357,2,"all"
"pantheon",2,11357,2,"all"
"comprising",2,11357,2,"all"
"saga",2,11357,2,"all"
"compelled",2,11357,2,"all"
"marla",2,11357,2,"all"
"first-year",2,11357,2,"all"
"motel",2,11357,1,"all"
"snowing",2,11357,2,"all"
"billions",2,11357,2,"all"
"mujahideen",2,11357,2,"all"
"blunder",2,11357,2,"all"
"eyesight",2,11357,2,"all"
"phantom",2,11357,2,"all"
"benadryl",2,11357,1,"all"
"collectively",2,11357,2,"all"
"lola",2,11357,1,"all"
"sparkly",2,11357,2,"all"
"outrageous",2,11357,2,"all"
"dreaded",2,11357,2,"all"
"europeans",2,11357,2,"all"
"vin",2,11357,2,"all"
"measurement",2,11357,2,"all"
"fulfilling",2,11357,2,"all"
"aspirations",2,11357,2,"all"
"distressing",2,11357,2,"all"
"remembrance",2,11357,2,"all"
"liverpool",2,11357,1,"all"
"fc",2,11357,2,"all"
"ravens",2,11357,2,"all"
"monty",2,11357,1,"all"
"otto",2,11357,2,"all"
"simmons",2,11357,2,"all"
"mona",2,11357,2,"all"
"cloisters",2,11357,1,"all"
"scouring",2,11357,2,"all"
"foment",2,11357,2,"all"
"defy",2,11357,2,"all"
"eyeballs",2,11357,2,"all"
"frosted",2,11357,2,"all"
"darkly",2,11357,2,"all"
"half-siblings",2,11357,1,"all"
"rearranging",2,11357,2,"all"
"moderated",2,11357,2,"all"
"fixture",2,11357,2,"all"
"portrayed",2,11357,2,"all"
"cauldron",2,11357,2,"all"
"bookkeeping",2,11357,2,"all"
"chicagoland",2,11357,2,"all"
"thanked",2,11357,2,"all"
"man-crush",2,11357,2,"all"
"heartfelt",2,11357,2,"all"
"hamburger",2,11357,2,"all"
"reschedule",2,11357,2,"all"
"tastings",2,11357,2,"all"
"dumping",2,11357,2,"all"
"churning",2,11357,2,"all"
"superhuman",2,11357,2,"all"
"emerges",2,11357,2,"all"
"unrelated",2,11357,2,"all"
"gibson",2,11357,2,"all"
"kerr",2,11357,2,"all"
"digis",2,11357,2,"all"
"lysa",2,11357,1,"all"
"strive",2,11357,2,"all"
"harmless",2,11357,2,"all"
"customize",2,11357,2,"all"
"sixteen",2,11357,2,"all"
"barnet",2,11357,2,"all"
"genetics",2,11357,2,"all"
"lice",2,11357,1,"all"
"infer",2,11357,2,"all"
"skins",2,11357,2,"all"
"envisioning",2,11357,2,"all"
"mildly",2,11357,2,"all"
